Clause_ID,Clause_Text,Category,Subcategory,Vulnerability_Level,Annotation_Notes,Key_Terms,Clause_Context,Policy_Type,Vulnerability_Score
C1000,"STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED
Regd.",Company Information,Company Name,Low,This is the company name as stated in the document,['STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED'],low Coverage,Health,1
C1001,"If you find any discrepancy, please inform
us within 15 days from the date of receipt of the policy, failing which the details relating to the person/s covered would be taken as
correct.",Coverage,Notification,Low,This clause informs the policyholder about the time limit for reporting discrepancies in the policy.,"['discrepancy', '15 days', 'policy', 'person/s covered']",low Coverage,Health,1
C1002,"So also the coverage details may also be gone through and in the absence of any communication from you within 15 days from the
date of receipt of this policy, it would be construed that the policy issued is correct and the claims if any arise under the policy will be
dealt with based on proposal / policy details.",Coverage,Policy Terms,Low,This clause explains the time frame for policyholder to review their coverage details and communicate any discrepancies.,"['coverage details', '15 days', 'policy', 'claims', 'proposal']",moderate Coverage,Health,2
C1003,FOR LIST OF VALUABLE SERVICE PROVIDER PLEASE VISIT WEBSITE : www.starhealth.in.,Website Reference,Service Provider List Access,Low,"This clause does not directly impact the policy terms or conditions, but it provides a means for the policyholder to access a list of service providers.","['visit', 'website', 'starhealth.in', 'service provider']",low Coverage,Health,1
C1004,"Customer Information Sheet - Family Health Optima Insurance Plan
Unique Identification No.",Policy Information,Policy Identification,Low,"This clause provides information about the type of policy and the unique identification number, but does not contain specific coverage, exclusions, limitations, waiting periods, or monetary details.","['Customer Information Sheet', 'Family Health Optima Insurance Plan', 'Unique Identification No.']",low Coverage,Health,1
C1005,"Refer to Policy
No.",Exclusion,Policy Coverage,Medium,This clause refers to another policy document without explicitly stating the exclusion or limitation.,['Policy'],high Exclusion,Health,3
C1006,"Clause Number
Product Name Family Health Optima Insurance Plan
A In-patient Treatment - Covers hospitalization expenses for period more than 24 hrs 2 (A,B,C)
B All Day Care Procedures are covered 2 (D)
C Cataract - Expenses incurred on treatment of Cataract is subject to the limit 2 (E)
D Emergency Road Ambulance - Up to Rs.",Coverage,In-patient Treatment,Medium,This clause specifies the conditions for coverage of in-patient treatment.,"['In-patient Treatment', 'Hospitalization expenses', '24 hrs', 'A, B, C', 'All Day Care Procedures', 'D', 'Cataract', 'Expenses', 'Limit', 'E', 'Emergency Road Ambulance']",high Coverage,Health,3
C1007,"750/- per hospitalization & Rs.1,500/- per policy period for utilizing ambulance service
2 (F)
for transporting insured person to hospital in case of an emergency.",Coverage,Ambulance Service,Medium,This clause pertains to the cost of ambulance service in case of an emergency.,"['hospitalization', 'Rs. 750/-', 'Rs. 1500/-', 'emergency', 'ambulance service']",high Coverage,Health,3
C1008,"E Air Ambulance - Per policy limits is up to 10% of the Sum Insured 2 (G)
F Pre-Hospitalization - Medical Expenses incurred up to 60 days prior to hospitalization 2 (H)
G Post-Hospitalization - Medical Expenses incurred up to 90 days after discharge from the hospital 2 (I)
H Domiciliary Hospitalization treatment for a period exceeding three days 2 (J)
I Organ Donor Expenses - This cover is subject to a limit of 10% of the Sum Insured or Rupees One lakh, whichever is less.",Coverage,Benefits,Medium,"This clause outlines the benefits provided under the insurance policy for different scenarios such as air ambulance, pre-hospitalization, post-hospitalization, domiciliary hospitalization, and organ donor expenses.","['E Air Ambulance', 'Per policy limits', '10% of the Sum Insured 2', 'F Pre-Hospitalization', 'G Post-Hospitalization', 'H Domiciliary Hospitalization', 'I Organ Donor Expenses', '10% of the Sum Insured or Rupees One lakh']",high Coverage,Health,3
C1009,"2 (K)
J Cost of Health Checkup - Expenses incurred towards cost of health check-up subject to maximum of Rs.3,500/- for every claim
2 (L)
free year
K Hospitalization expenses for treatment of New Born Baby - The coverage for new born baby starts from the 16th day after its
2(M)
birth and is subject to a limit of 10% of the Sum Insured or Rupees Fifty thousand, whichever is less
L Emergency Domestic Medical Evacuation - The Company will reimburse reasonable and necessary expenses incurred
2 (N)
towards transportation of the insured person from the treating hospital to another hospital for treatment
What am I M Compassionate travel - The Company will reimburse the transportation expenses by air incurred upto Rs.5,000/- for one
1 2 (O)
covered for immediate family member (other than the travel companion) for travel towards the place where hospital is located
N Repatriation of Mortal remains - Following an admissible claim for hospitalization under the policy, the Company shall
reimburse up to Rs.5,000/-, the cost of repatriation of mortal remains of the insured person (including the cost of embalming and 2 (P)
coffin charges) to the residence of the Insured as recorded in the policy.",Coverage,Hospitalization,Medium,This clause explains the coverage for hospitalization expenses for the insured person and new born baby.,"['health check-up', 'Rs.3,500/-', 'new born baby', '16th day', '10% of the Sum Insured or Rupees Fifty thousand', 'Emergency Domestic Medical Evacuation', 'transportation', 'Rs.5,000/-', 'immediate family member', 'repatriation of mortal remains', 'Rs.5,000/-', 'embalming', 'coffin charges']",high Coverage,Health,3
